Edge	Weight
0 - 1	7
1 - 2	14
2 - 3	14
3 - 4	14
4 - 5	14
5 - 6	14
6 - 7	2
7 - 8	4
8 - 9	8
9 - 10	2
10 - 11	4
11 - 12	8
12 - 13	6
13 - 14	8
14 - 15	4
15 - 16	2
16 - 17	14
17 - 18	6
18 - 19	4
19 - 20	4
20 - 21	6
21 - 22	4
22 - 23	4
23 - 24	4
24 - 25	2
25 - 26	4
26 - 27	4
27 - 28	4
28 - 29	6
29 - 30	14
30 - 31	14
31 - 32	14
32 - 33	14
33 - 34	14
34 - 35	14
35 - 36	4
36 - 37	10
37 - 38	4
38 - 39	10
39 - 40	2
40 - 41	2
41 - 42	10
42 - 43	4
43 - 44	10
44 - 45	4
45 - 46	14
46 - 47	4
47 - 48	6
48 - 49	4
49 - 50	4
50 - 51	6
51 - 52	8
52 - 53	6
53 - 54	4
54 - 55	4
55 - 56	6
56 - 57	4
57 - 58	14
58 - 59	4
59 - 60	4
60 - 61	2
61 - 62	4
62 - 63	4
63 - 64	4
64 - 65	2
65 - 66	4
66 - 67	4
67 - 68	4
68 - 69	2
69 - 70	4
70 - 71	4
71 - 72	4
72 - 73	2
73 - 74	4
74 - 75	4
75 - 76	13
76 - 77	7
77 - 78	6
78 - 79	8
79 - 80	6
80 - 81	8
81 - 82	6
82 - 83	8
83 - 84	6
84 - 85	7
85 - 86	12
86 - 87	2
87 - 88	4
88 - 89	5
89 - 90	4
90 - 91	14
91 - 92	14
92 - 93	4
93 - 94	5
94 - 95	4
95 - 96	2
96 - 97	11
97 - 98	10
98 - 99	11
99 - 100	12
100 - 101	10
101 - 102	9
102 - 103	11
103 - 104	13
104 - 105	13
105 - 106	11
106 - 107	9
107 - 108	9
108 - 109	12
109 - 110	14
110 - 111	12
111 - 112	10
112 - 113	3
113 - 114	9
114 - 115	14
115 - 116	9
116 - 117	3
117 - 118	11
118 - 119	13
119 - 120	8
120 - 121	13
121 - 122	12
122 - 123	7
123 - 124	6
124 - 125	8
125 - 126	6
126 - 127	8
127 - 128	6
128 - 129	8
129 - 130	6
130 - 131	7
131 - 132	13
132 - 133	14
133 - 134	4
134 - 135	2
135 - 136	4
136 - 137	2
137 - 138	2
138 - 139	4
139 - 140	6
140 - 141	14
141 - 142	14
142 - 143	2
143 - 144	2
144 - 145	6
145 - 146	2
146 - 147	2
147 - 148	4
148 - 149	6
149 - 150	8
150 - 151	6
151 - 152	4
152 - 153	2
153 - 154	2
154 - 155	6
155 - 156	2
156 - 157	2
157 - 158	14
158 - 159	4
159 - 160	2
160 - 161	4
161 - 162	4
162 - 163	4
163 - 164	2
164 - 165	12
165 - 166	6
166 - 167	4
167 - 168	4
168 - 169	2
169 - 170	4
170 - 171	14
171 - 172	6
172 - 173	4
173 - 174	10
174 - 175	2
175 - 176	2
176 - 177	2
177 - 178	2
178 - 179	4
179 - 180	6
180 - 181	4
181 - 182	6
182 - 183	14
183 - 184	4
184 - 185	10
185 - 186	4
186 - 187	2
187 - 188	8
188 - 189	2
189 - 190	2
190 - 191	8
191 - 192	2
192 - 193	4
193 - 194	10
194 - 195	4
195 - 196	14
196 - 197	14
197 - 198	14
198 - 199	14
199 - 200	14
200 - 201	14
201 - 202	14
202 - 203	14
203 - 204	2
204 - 205	4
205 - 206	8
206 - 207	2
207 - 208	8
208 - 209	4
209 - 210	8
210 - 211	2
211 - 212	8
212 - 213	4
213 - 214	2
214 - 215	14
215 - 216	12
216 - 217	2
217 - 218	10
218 - 219	2
219 - 220	8
220 - 221	2
221 - 222	2
222 - 223	8
223 - 224	2
224 - 225	12
225 - 226	14
226 - 227	10
227 - 228	2
228 - 229	2
229 - 230	10
230 - 231	2
231 - 232	2
232 - 233	10
233 - 234	2
234 - 235	2
235 - 236	10
236 - 237	14
237 - 238	4
238 - 239	6
239 - 240	4
240 - 241	4
241 - 242	6
242 - 243	4
243 - 244	4
244 - 245	6
245 - 246	4
246 - 247	4
247 - 248	6
248 - 249	4
249 - 250	14
250 - 251	10
251 - 252	8
252 - 253	14
253 - 254	10
254 - 255	14
255 - 256	6
256 - 257	6
257 - 258	6
258 - 259	2
259 - 260	4
260 - 261	2
261 - 262	2
262 - 263	4
263 - 264	2
264 - 265	2
265 - 266	4
266 - 267	2
267 - 268	6
268 - 269	6
269 - 270	6
270 - 271	13
271 - 272	12
272 - 273	12
273 - 274	2
274 - 275	13
275 - 276	8
276 - 277	13
277 - 278	2
278 - 279	11
279 - 280	12
280 - 281	14
281 - 282	12
282 - 283	10
283 - 284	8
284 - 285	12
285 - 286	12
286 - 287	12
287 - 288	12
288 - 289	8
289 - 290	9
290 - 291	10
291 - 292	12
292 - 293	10
293 - 294	10
294 - 295	12
295 - 296	11
296 - 297	3
297 - 298	9
298 - 299	14
299 - 300	9
300 - 301	3
