Edge	Weight
17 - 1	2
19 - 2	2
22 - 3	2
26 - 4	2
29 - 5	2
17 - 6	2
6 - 7	2
18 - 8	2
20 - 9	2
9 - 10	2
21 - 11	2
23 - 12	2
25 - 13	2
27 - 14	2
28 - 15	2
15 - 16	2
30 - 17	2
7 - 18	2
8 - 19	2
2 - 20	2
10 - 21	2
11 - 22	2
3 - 23	2
12 - 24	2
24 - 25	2
13 - 26	2
4 - 27	2
14 - 28	2
16 - 29	2
35 - 30	2
19 - 31	2
22 - 32	2
26 - 33	2
29 - 34	2
46 - 35	2
46 - 36	2
8 - 37	2
9 - 38	2
11 - 39	2
39 - 40	2
12 - 41	2
13 - 42	2
14 - 43	2
16 - 44	2
34 - 45	2
58 - 46	2
7 - 47	2
18 - 48	2
37 - 49	2
10 - 50	2
21 - 51	2
24 - 52	2
25 - 53	2
42 - 54	2
28 - 55	2
15 - 56	2
44 - 57	2
76 - 58	1
46 - 59	2
47 - 60	2
48 - 61	2
48 - 62	2
49 - 63	2
50 - 64	2
51 - 65	2
40 - 66	2
40 - 67	2
52 - 68	2
53 - 69	2
53 - 70	2
54 - 71	2
55 - 72	2
56 - 73	2
56 - 74	2
57 - 75	2
86 - 76	2
59 - 77	2
61 - 78	2
63 - 79	2
65 - 80	2
67 - 81	2
69 - 82	2
71 - 83	2
73 - 84	2
75 - 85	1
97 - 86	1
86 - 87	2
77 - 88	3
78 - 89	4
78 - 90	4
80 - 91	4
82 - 92	4
83 - 93	4
84 - 94	3
96 - 95	2
85 - 96	2
101 - 97	3
96 - 98	1
87 - 99	4
95 - 100	4
0 - 101	4
99 - 102	1
0 - 103	6
0 - 104	7
0 - 105	6
100 - 106	1
111 - 107	1
101 - 108	1
103 - 109	1
105 - 110	1
117 - 111	2
108 - 112	2
118 - 113	2
124 - 114	4
129 - 115	4
121 - 116	2
121 - 117	1
112 - 118	1
125 - 119	2
126 - 120	4
131 - 121	2
118 - 122	2
143 - 123	2
146 - 124	2
133 - 125	2
135 - 126	2
138 - 127	2
140 - 128	2
153 - 129	2
156 - 130	2
141 - 131	1
122 - 132	1
147 - 133	2
125 - 134	2
134 - 135	2
126 - 136	2
136 - 137	2
137 - 138	2
127 - 139	2
151 - 140	2
157 - 141	2
132 - 142	2
142 - 143	2
143 - 144	2
160 - 145	2
145 - 146	2
146 - 147	2
133 - 148	2
135 - 149	2
138 - 150	2
179 - 151	2
140 - 152	2
