n,times
1,49
2,135
3,51
4,44
5,45
6,49
7,47
8,45
9,47
10,45
11,44
12,46
13,47
14,44
15,45
16,47
17,45
18,46
19,48
20,45
21,47
22,46
23,47
24,51
25,50
26,50
27,50
28,55
29,55
30,105
31,56
32,58
33,61
34,63
35,62
36,63
37,67
38,67
39,69
40,185
41,75
42,71
43,81
44,79
45,78
46,76
47,79
48,80
49,83
50,81
51,84
52,83
53,85
54,84
55,87
56,86
57,89
58,89
59,89
60,89
61,100
62,89
63,93
64,92
65,97
66,97
67,96
68,99
69,110
70,103
71,108
72,105
73,109
74,159
75,108
76,108
77,108
78,108
79,110
80,113
81,114
82,116
83,118
84,122
85,119
86,118
87,119
88,126
89,125
90,140
91,122
92,126
93,175
94,174
95,129
96,134
97,135
98,135
99,134
100,135
101,136
102,135
103,136
104,140
105,195
106,140
107,146
108,142
109,145
110,147
111,153
112,149
113,156
114,153
115,158
116,158
117,164
118,159
119,165
120,162
121,166
122,164
123,166
124,173
125,169
126,167
127,168
128,196
129,169
130,221
131,175
132,179
133,178
134,180
135,178
136,184
137,186
138,185
139,191
140,185
141,190
142,205
143,188
144,195
145,191
146,192
147,191
148,200
149,199
150,196
151,205
152,200
153,208
154,199
155,208
156,204
157,217
158,206
159,207
160,210
161,216
162,212
163,218
164,234
165,215
166,204
167,206
168,209
169,219
170,238
171,216
172,279
173,223
174,218
175,274
176,224
177,226
178,220
179,230
180,224
181,242
182,231
183,233
184,226
185,285
186,235
187,244
188,248
189,248
190,239
191,261
192,255
193,257
194,299
195,252
196,260
197,267
198,257
199,259
200,249
201,267
202,265
203,266
204,256
205,265
206,262
207,278
208,280
209,287
210,282
211,297
212,293
213,295
214,283
215,331
216,297
217,359
218,284
219,282
220,299
221,354
222,282
223,319
224,301
225,313
226,331
227,325
228,313
229,345
230,355
231,347
232,354
233,401
234,394
235,400
236,369
237,342
238,354
239,338
240,324
241,331
242,326
243,329
244,325
245,327
246,327
247,323
248,419
249,312
250,397
251,317
252,325
253,317
254,330
255,340
256,354
257,364
258,351
259,356
260,351
261,357
262,356
263,378
264,354
265,351
266,401
267,349
268,353
269,352
270,357
271,370
272,376
273,383
274,429
275,384
276,390
277,452
278,381
279,372
280,385
281,410
282,385
283,372
284,388
285,382
286,383
287,394
288,409
289,413
290,418
291,406
292,408
293,410
294,418
295,402
296,416
297,450
298,406
299,407
300,410
301,416
302,410
303,420
304,435
305,430
306,486
307,496
308,435
309,584
310,445
311,458
312,495
313,440
314,494
315,429
316,441
317,437
318,480
319,440
320,477
321,458
322,515
323,484
324,530
325,465
326,467
327,452
328,510
329,532
330,509
331,471
332,466
333,512
334,563
335,487
336,482
337,498
338,497
339,477
340,491
341,484
342,543
343,473
344,491
345,523
346,494
347,493
348,493
349,493
350,573
351,499
352,541
353,540
354,523
355,505
356,511
357,541
358,576
359,506
360,511
361,500
362,510
363,538
364,543
365,548
366,507
367,506
368,530
369,536
370,532
371,518
372,525
373,530
374,536
375,529
376,577
377,517
378,530
379,514
380,591
381,532
382,530
383,534
384,552
385,566
386,553
387,587
388,597
389,544
390,555
391,535
392,594
393,547
394,556
395,546
396,605
397,548
398,552
399,549
400,564
401,633
402,923
403,556
404,556
405,561
406,566
407,554
408,558
409,570
410,620
411,564
412,568
413,603
414,575
415,657
416,590
417,579
418,582
419,563
420,589
421,636
422,632
423,602
424,579
425,583
426,587
427,587
428,596
429,590
430,602
431,614
432,597
433,595
434,596
435,595
436,612
437,605
438,718
439,654
440,661
441,606
442,618
443,657
444,605
445,611
446,621
447,606
448,617
449,648
450,613
451,746
452,631
453,650
454,618
455,615
456,667
457,649
458,623
459,763
460,728
461,631
462,618
463,623
464,625
465,733
466,644
467,683
468,632
469,689
470,632
471,629
472,630
473,638
474,687
475,644
476,755
477,645
478,638
479,636
480,659
481,1003
482,651
483,687
484,668
485,719
486,702
487,647
488,679
489,708
490,654
491,658
492,664
493,716
494,694
495,658
496,674
497,670
498,659
499,668
500,724
501,671
502,683
503,667
504,677
505,673
506,699
507,717
508,671
509,727
510,675
511,676
512,684
513,725
514,679
515,689
516,691
517,693
518,679
519,678
520,689
521,689
522,696
523,694
524,746
525,747
526,782
527,688
528,772
529,747
530,698
531,701
532,747
533,712
534,705
535,706
536,710
537,715
538,718
539,711
540,711
541,817
542,706
543,731
544,720
545,741
546,721
547,723
548,728
549,732
550,769
551,730
552,731
553,728
554,727
555,733
556,833
557,735
558,724
559,723
560,740
561,741
562,737
563,738
564,748
565,748
566,740
567,740
568,752
569,748
570,814
571,804
572,750
573,753
574,762
575,751
576,758
577,758
578,765
579,802
580,780
581,807
582,764
583,759
584,762
585,909
586,770
587,812
588,806
589,772
590,770
591,765
592,830
593,782
594,780
595,794
596,784
597,783
598,847
599,775
600,784
601,805
602,786
603,845
604,786
605,816
606,782
607,782
608,873
609,795
610,802
611,794
612,905
613,841
614,800
615,792
616,854
617,803
618,856
619,798
620,802
621,809
622,798
623,802
624,816
625,876
626,818
627,811
628,819
629,920
630,820
631,812
632,833
633,880
634,824
635,833
636,826
637,829
638,886
639,815
640,828
641,834
642,858
643,822
644,831
645,885
646,863
647,835
648,846
649,840
650,833
651,941
652,882
653,877
654,838
655,829
656,848
657,847
658,891
659,852
660,854
661,849
662,888
663,909
664,905
665,854
666,860
667,854
668,857
669,870
670,856
671,858
672,868
673,866
674,870
675,864
676,981
677,888
678,869
679,920
680,869
681,881
682,879
683,923
684,1153
685,926
686,878
687,888
688,1006
689,887
690,886
691,882
692,917
693,909
694,894
695,890
696,893
697,896
698,896
699,890
700,1030
701,952
702,894
703,894
704,903
705,910
706,903
707,922
708,910
709,909
710,958
711,989
712,916
713,913
714,965
715,910
716,919
717,917
718,909
719,927
720,912
721,917
722,939
723,1039
724,924
725,974
726,929
727,922
728,948
729,925
730,970
731,933
732,1006
733,937
734,1025
735,927
736,938
737,939
738,936
739,939
740,942
741,964
742,942
743,987
744,953
745,1058
746,952
747,953
748,959
749,957
750,944
751,971
752,973
753,958
754,955
755,958
756,1160
757,999
758,960
759,959
760,1022
761,962
762,978
763,963
764,962
765,1065
766,958
767,1086
768,1019
769,981
770,976
771,974
772,972
773,1005
774,977
775,1049
776,990
777,1074
778,1029
779,1020
780,1038
781,990
782,981
783,975
784,1004
785,1140
786,998
787,989
788,1124
789,1000
790,998
791,999
792,997
793,1007
794,1051
795,1005
796,1003
797,1013
798,1086
799,1040
800,1010
801,1018
802,1016
803,1075
804,1034
805,1027
806,1008
807,1014
808,1113
809,1025
810,1020
811,1061
812,1074
813,1030
814,1015
815,1026
816,1056
817,1058
818,1072
819,1028
820,1032
821,1035
822,1056
823,1041
824,1055
825,1103
826,1039
827,1044
828,1119
829,1049
830,1085
831,1162
832,1096
833,1071
834,1056
835,1055
836,1049
837,1056
838,1124
839,1102
840,1106
841,1087
842,1065
843,1062
844,1120
845,1095
846,1102
847,1059
848,1164
849,1069
850,1116
851,1099
852,1077
853,1072
854,1072
855,1117
856,1079
857,1072
858,1269
859,1085
860,1154
861,1141
862,1089
863,1074
864,1177
865,1154
866,1084
867,1170
868,1095
869,1100
870,1092
871,1193
872,1089
873,1098
874,1148
875,1145
876,1157
877,1100
878,1092
879,1101
880,1194
881,1111
882,1109
883,1118
884,1113
885,1115
886,1246
887,1115
888,1170
889,1212
890,1133
891,1123
892,1118
893,1118
894,1153
895,1215
896,1115
897,1122
898,1144
899,1137
900,1120
901,1173
902,1162
903,1117
904,1251
905,1146
906,1130
907,1169
908,1118
909,1115
910,1202
911,1149
912,1271
913,1217
914,1125
915,1135
916,1120
917,1167
918,1122
919,1163
920,1126
921,1129
922,1269
923,1178
924,1144
925,1137
926,1123
927,1121
928,1234
929,1133
930,1152
931,1290
932,1139
933,1188
934,1126
935,1111
936,1134
937,1123
938,1144
939,1118
940,1131
941,1137
942,1136
943,1113
944,1122
945,1122
946,1131
947,1141
948,1125
949,1130
950,1139
951,1132
952,1184
953,1150
954,1166
955,1156
956,1211
957,1182
958,1186
959,1187
960,1202
961,1153
962,1152
963,1204
964,1163
965,1166
966,1161
967,1206
968,1176
969,1175
970,1227
971,1173
972,1229
973,1182
974,1218
975,1220
976,1179
977,1183
978,1199
979,1181
980,1190
981,1192
982,1236
983,1189
984,1228
985,1222
986,1190
987,1204
988,1199
989,1246
990,1274
991,1191
992,1195
993,1205
994,1200
995,1209
996,1201
997,1204
998,1244
999,1205
1000,1286
1001,1259
1002,1208
1003,1210
1004,1233
1005,1289
1006,1226
1007,1201
1008,1257
1009,1216
1010,1242
1011,1264
1012,1222
1013,1223
1014,1267
1015,1311
1016,1229
1017,1238
1018,1226
1019,1285
1020,1244
1021,1240
1022,1225
1023,1277
1024,1227
1025,1241
1026,1285
1027,1231
1028,1236
1029,1249
1030,1288
1031,1303
1032,1257
1033,1277
1034,1293
1035,1247
1036,1251
1037,1255
1038,1239
1039,1250
1040,1252
1041,1314
1042,1361
1043,1260
1044,1311
1045,1263
1046,1332
1047,1259
1048,1263
1049,1271
1050,1322
1051,1270
1052,1288
1053,1363
1054,1299
1055,1382
1056,1326
1057,1294
1058,1275
1059,1300
1060,1337
1061,1337
1062,1282
1063,1287
1064,1308
1065,1357
1066,1328
1067,1435
1068,5637
1069,1331
1070,1284
1071,1294
1072,1285
1073,1303
1074,1298
1075,1302
1076,1295
1077,1312
1078,1312
1079,1369
1080,1294
1081,1361
1082,1351
1083,1305
1084,1301
1085,1314
1086,1348
1087,1339
1088,1306
1089,1332
1090,1318
1091,1315
1092,1312
1093,1315
1094,1337
1095,1342
1096,1320
1097,1332
1098,1339
1099,1327
1100,1437
1101,1351
1102,1453
1103,1319
1104,1344
1105,1351
1106,1321
1107,1377
1108,1352
1109,1395
1110,1366
1111,1345
1112,1332
1113,1357
1114,1349
1115,1351
1116,1334
1117,1366
1118,1375
1119,1338
1120,1341
1121,1398
1122,1363
1123,1348
1124,1351
1125,1399
1126,1345
1127,1365
1128,1347
1129,1363
1130,1372
1131,1356
1132,1403
1133,1369
1134,1347
1135,1353
1136,1398
1137,1382
1138,1430
1139,1368
1140,1371
1141,1372
1142,1360
1143,1368
1144,1383
1145,1380
1146,1416
1147,1378
1148,1497
1149,1382
1150,1361
1151,1381
1152,1378
1153,1397
1154,1419
1155,1387
1156,1384
1157,1404
1158,1473
1159,1439
1160,1406
1161,1457
1162,1390
1163,1414
1164,1388
1165,1468
1166,1387
1167,1383
1168,1395
1169,1401
1170,1520
1171,1395
1172,1416
1173,1478
1174,1394
1175,1442
1176,1422
1177,1410
1178,1396
1179,1411
1180,1435
1181,1485
1182,1452
1183,1413
1184,1412
1185,1515
1186,1410
1187,1460
1188,1408
1189,1426
1190,1421
1191,1416
1192,1415
1193,1426
1194,1489
1195,1427
1196,1500
1197,1446
1198,1415
1199,1467
1200,1427
1201,1437
1202,1475
1203,1433
1204,1448
1205,1499
1206,1441
1207,1467
1208,1453
1209,1441
1210,1441
1211,1444
1212,1441
1213,1489
1214,1443
1215,1438
1216,1441
1217,1467
1218,1460
1219,1448
1220,1497
1221,1511
1222,1445
1223,1509
1224,1521
1225,1457
1226,1453
1227,1478
1228,1515
1229,1471
1230,1457
1231,1508
1232,1459
1233,1476
1234,1500
1235,1467
1236,1463
1237,1481
1238,1509
1239,1516
1240,1466
